"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-8_W7.62mm";1;"NE555P";;;
2;"D3,D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";3;"1N4007";;;
3;"J1,J2";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";2;"Screw_Terminal_01x02";;;
4;"C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"100nf";;;
5;"C3";"CP_Radial_D10.0mm_P5.00mm";1;"1000uf";;;
6;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1K";;;
7;"C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"100nF";;;
8;"D4";"LED_D5.0mm";1;"LED";;;
9;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"2.2K";;;
10;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1k";;;
11;"Q1";"TO-220-3_Vertical";1;"TIP122";;;
12;"RV1";"Potentiometer_Alps_RK163_Single_Horizontal";1;"100k";;;
